#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -16              14               1              HB  0.15976  0.15976  0.15976  0.15976   4200480E
              -16              14               2              HB  0.12046  0.12046  0.12046  0.12046   4200880E
               -1              15               1              HB  0.21017  0.21017  0.21017  0.21017   4200408F
               -2              15               1              HB  0.20802  0.20802  0.20802  0.20802   4200410F
               -3              15               1              HB  0.22307  0.22307  0.22307  0.22307   4200418F
               -4              15               1              HB  0.19632  0.19632  0.19632  0.19632   4200420F
               -5              15               1              HB  0.20833  0.20833  0.20833  0.20833   4200428F
               -6              15               1              HB  0.20120  0.20120  0.20120  0.20120   4200430F
               -7              15               1              HB  0.20071  0.20071  0.20071  0.20071   4200438F
               -8              15               1              HB  0.17503  0.17503  0.17503  0.17503   4200440F
               -9              15               1              HB  0.17410  0.17410  0.17410  0.17410   4200448F
              -10              15               1              HB  0.17704  0.17704  0.17704  0.17704   4200450F
              -11              15               1              HB  0.18421  0.18421  0.18421  0.18421   4200458F
              -12              15               1              HB  0.17090  0.17090  0.17090  0.17090   4200460F
              -13              15               1              HB  0.16861  0.16861  0.16861  0.16861   4200468F
              -14              15               1              HB  0.16470  0.16470  0.16470  0.16470   4200470F
              -15              15               1              HB  0.14585  0.14585  0.14585  0.14585   4200478F
              -15              15               2              HB  0.11041  0.11041  0.11041  0.11041   4200878F
              -16              15               1              HB  0.16401  0.16401  0.16401  0.16401   4200480F
              -16              15               2              HB  0.13117  0.13117  0.13117  0.13117   4200880F
               -1              16               1              HB  0.23451  0.23451  0.23451  0.23451   42004090
               -2              16               1              HB  0.20362  0.20362  0.20362  0.20362   42004110
               -3              16               1              HB  0.19137  0.19137  0.19137  0.19137   42004190
               -4              16               1              HB  0.20686  0.20686  0.20686  0.20686   42004210
               -5              16               1              HB  0.19576  0.19576  0.19576  0.19576   42004290
               -6              16               1              HB  0.19017  0.19017  0.19017  0.19017   42004310
               -7              16               1              HB  0.18271  0.18271  0.18271  0.18271   42004390
               -8              16               1              HB  0.18863  0.18863  0.18863  0.18863   42004410
               -9              16               1              HB  0.18583  0.18583  0.18583  0.18583   42004490
              -10              16               1              HB  0.16988  0.16988  0.16988  0.16988   42004510
              -11              16               1              HB  0.17150  0.17150  0.17150  0.17150   42004590
              -12              16               1              HB  0.18353  0.18353  0.18353  0.18353   42004610
              -13              16               1              HB  0.17484  0.17484  0.17484  0.17484   42004690
              -14              16               1              HB  0.15107  0.15107  0.15107  0.15107   42004710
              -15              16               1              HB  0.13033  0.13033  0.13033  0.13033   42004790
              -15              16               2              HB  0.13030  0.13030  0.13030  0.13030   42008790
              -16              16               1              HB  0.13717  0.13717  0.13717  0.13717   42004810
              -16              16               2              HB  0.12940  0.12940  0.12940  0.12940   42008810
               -1              17               1              HB  0.25872  0.25872  0.25872  0.25872   42004091
               -2              17               1              HB  0.25040  0.25040  0.25040  0.25040   42004111
               -3              17               1              HB  0.23630  0.23630  0.23630  0.23630   42004191
               -4              17               1              HB  0.24262  0.24262  0.24262  0.24262   42004211
               -5              17               1              HB  0.25597  0.25597  0.25597  0.25597   42004291
               -6              17               1              HB  0.24463  0.24463  0.24463  0.24463   42004311
               -7              17               1              HB  0.23789  0.23789  0.23789  0.23789   42004391
               -8              17               1              HB  0.23620  0.23620  0.23620  0.23620   42004411
               -9              17               1              HB  0.22944  0.22944  0.22944  0.22944   42004491
              -10              17               1              HB  0.22345  0.22345  0.22345  0.22345   42004511
              -11              17               1              HB  0.21262  0.21262  0.21262  0.21262   42004591
              -12              17               1              HB  0.22309  0.22309  0.22309  0.22309   42004611
              -13              17               1              HB  0.20804  0.20804  0.20804  0.20804   42004691
              -14              17               1              HB  0.18653  0.18653  0.18653  0.18653   42004711
              -15              17               1              HB  0.17380  0.17380  0.17380  0.17380   42004791
              -15              17               2              HB  0.14381  0.14381  0.14381  0.14381   42008791
              -16              17               1              HB  0.18011  0.18011  0.18011  0.18011   42004811
              -16              17               2              HB  0.15248  0.15248  0.15248  0.15248   42008811
               -1              18               1              HB  0.23651  0.23651  0.23651  0.23651   42004092
               -2              18               1              HB  0.21259  0.21259  0.21259  0.21259   42004112
               -3              18               1              HB  0.20803  0.20803  0.20803  0.20803   42004192
               -4              18               1              HB  0.20220  0.20220  0.20220  0.20220   42004212
               -5              18               1              HB  0.18602  0.18602  0.18602  0.18602   42004292
               -6              18               1              HB  0.19542  0.19542  0.19542  0.19542   42004312
               -7              18               1              HB  0.18669  0.18669  0.18669  0.18669   42004392
               -8              18               1              HB  0.19719  0.19719  0.19719  0.19719   42004412
               -9              18               1              HB  0.18632  0.18632  0.18632  0.18632   42004492
              -10              18               1              HB  0.17327  0.17327  0.17327  0.17327   42004512
              -11              18               1              HB  0.17533  0.17533  0.17533  0.17533   42004592
              -12              18               1              HB  0.17160  0.17160  0.17160  0.17160   42004612
              -13              18               1              HB  0.16734  0.16734  0.16734  0.16734   42004692
              -14              18               1              HB  0.16495  0.16495  0.16495  0.16495   42004712
              -15              18               1              HB  0.14614  0.14614  0.14614  0.14614   42004792
              -15              18               2              HB  0.10878  0.10878  0.10878  0.10878   42008792
              -16              18               1              HB  0.17186  0.17186  0.17186  0.17186   42004812
              -16              18               2              HB  0.13018  0.13018  0.13018  0.13018   42008812
               -1              19               1              HB  0.23147  0.23147  0.23147  0.23147   42004093
               -2              19               1              HB  0.21262  0.21262  0.21262  0.21262   42004113
               -3              19               1              HB  0.20381  0.20381  0.20381  0.20381   42004193
               -4              19               1              HB  0.21509  0.21509  0.21509  0.21509   42004213
               -5              19               1              HB  0.20602  0.20602  0.20602  0.20602   42004293
               -6              19               1              HB  0.19475  0.19475  0.19475  0.19475   42004313
               -7              19               1              HB  0.19742  0.19742  0.19742  0.19742   42004393
               -8              19               1              HB  0.20644  0.20644  0.20644  0.20644   42004413
               -9              19               1              HB  0.18350  0.18350  0.18350  0.18350   42004493
              -10              19               1              HB  0.18625  0.18625  0.18625  0.18625   42004513
              -11              19               1              HB  0.19019  0.19019  0.19019  0.19019   42004593
              -12              19               1              HB  0.19238  0.19238  0.19238  0.19238   42004613
              -13              19               1              HB  0.18479  0.18479  0.18479  0.18479   42004693
              -14              19               1              HB  0.17192  0.17192  0.17192  0.17192   42004713
              -15              19               1              HB  0.15062  0.15062  0.15062  0.15062   42004793
              -15              19               2              HB  0.11430  0.11430  0.11430  0.11430   42008793
              -16              19               1              HB  0.15964  0.15964  0.15964  0.15964   42004813
              -16              19               2              HB  0.13389  0.13389  0.13389  0.13389   42008813
               -1              20               1              HB  0.25458  0.25458  0.25458  0.25458   42004094
               -2              20               1              HB  0.23497  0.23497  0.23497  0.23497   42004114
               -3              20               1              HB  0.22699  0.22699  0.22699  0.22699   42004194
               -4              20               1              HB  0.20824  0.20824  0.20824  0.20824   42004214
